Height_cm,Leaf_Count,New_Growth_Count,Watering_Amount_ml,Watering_Frequency_days,Sunlight_Exposure,Room_Temperature_C,Humidity_%,Fertilizer_Type,Fertilizer_Amount_ml,Pest_Presence,Pest_Severity,Soil_Moisture_%,Soil_Type,Health_Score
17.39,17.0,8.0,205.0,3.0,3h direct morning sun,21.7,77.5,Organic,82.0,Fungus gnats,Moderate,51.9,Clay,1.0
9.84,31.0,9.0,191.0,1.0,3h direct morning sun,22.6,68.9,Chemical,91.0,Aphids,Low,28.2,Loamy,2.0
19.82,40.0,8.0,477.0,5.0,Indirect light all day,17.2,44.3,Liquid feed,90.0,Whiteflies,High,13.6,Sandy,1.0
37.08,11.0,1.0,207.0,1.0,Low light corner,25.0,72.2,Compost,76.0,Fungus gnats,Low,38.4,Sandy,4.0
2.96,26.0,3.0,465.0,2.0,Filtered sunlight through curtain,23.2,51.6,Compost,37.0,Fungus gnats,Low,37.9,Peaty,1.0
14.63,14.0,6.0,375.0,6.0,Low light corner,26.9,71.4,Chemical,42.0,Whiteflies,High,52.5,Clay,4.0
23.73,43.0,1.0,420.0,1.0,3h direct morning sun,20.7,71.1,Liquid feed,20.0,Fungus gnats,Low,59.8,Silty,1.0
16.23,19.0,0.0,393.0,4.0,Filtered sunlight through curtain,22.1,39.4,Chemical,90.0,Spider mites,Low,35.4,Clay,1.0
19.73,19.0,2.0,311.0,1.0,6h full sun,19.5,65.1,Liquid feed,61.0,Whiteflies,Low,27.3,Clay,5.0
19.88,8.0,3.0,332.0,3.0,Filtered sunlight through curtain,21.0,44.5,Liquid feed,45.0,Whiteflies,High,19.3,Clay,2.0
22.42,36.0,7.0,387.0,1.0,Low light corner,20.5,44.9,Compost,69.0,Whiteflies,Low,10.2,Peaty,2.0
17.71,27.0,5.0,393.0,6.0,Indirect light all day,27.0,44.8,Chemical,37.0,Fungus gnats,Moderate,35.5,Loamy,3.0
16.89,10.0,1.0,278.0,2.0,6h full sun,21.9,66.3,Organic,48.0,Fungus gnats,Low,37.8,Peaty,5.0
34.34,28.0,8.0,425.0,1.0,Low light corner,24.4,41.5,Compost,74.0,Whiteflies,Low,51.2,Silty,5.0
35.5,24.0,1.0,329.0,4.0,6h full sun,22.9,30.0,Chemical,80.0,Aphids,High,35.2,Loamy,2.0
11.19,41.0,4.0,407.0,5.0,Filtered sunlight through curtain,20.2,65.8,Chemical,38.0,Aphids,High,55.8,Silty,5.0
-2.6,24.0,3.0,339.0,1.0,3h direct morning sun,23.5,38.6,Compost,70.0,Spider mites,Low,41.4,Chalky,2.0
35.63,16.0,6.0,217.0,1.0,Low light corner,25.8,35.2,Chemical,29.0,Whiteflies,High,52.0,Chalky,5.0
12.71,37.0,7.0,96.0,3.0,Indirect light all day,20.4,41.9,Compost,20.0,Spider mites,Moderate,17.4,Loamy,1.0
27.13,32.0,4.0,252.0,4.0,Filtered sunlight through curtain,26.4,49.0,Liquid feed,0.0,Whiteflies,Moderate,52.8,Peaty,2.0
9.34,12.0,9.0,263.0,6.0,Low light corner,21.5,53.8,Chemical,88.0,Whiteflies,Low,43.8,Silty,2.0
37.98,5.0,4.0,295.0,5.0,Indirect light all day,22.6,32.2,Chemical,31.0,Whiteflies,High,18.5,Silty,4.0
50.44,41.0,1.0,73.0,2.0,Low light corner,25.6,78.5,Compost,7.0,Whiteflies,Moderate,19.5,Sandy,5.0
26.83,26.0,7.0,370.0,1.0,Filtered sunlight through curtain,22.0,65.8,Chemical,68.0,Fungus gnats,Low,56.3,Silty,5.0
24.06,10.0,1.0,323.0,6.0,Low light corner,24.1,46.2,Compost,29.0,Whiteflies,High,11.6,Peaty,2.0
21.78,25.0,9.0,93.0,5.0,6h full sun,23.1,45.9,Compost,7.0,Spider mites,Low,33.1,Sandy,1.0
